file_name,class_id
img_4358977458434011046.jpg,1
img_5224016757187192130.jpg,2
img_3065202206106254707.jpg,2
img_6304894865561547174.jpg,1
img_3371338542810939877.jpg,2
img_946797649386887230.jpg,0
img_3282952127033205295.jpg,0
img_3090153597350897926.jpg,1
img_4875755942606271156.jpg,1
img_4787814488043878610.jpg,1
img_4125543106305495129.jpg,1
img_2823915539277173272.jpg,0
img_7230268662919234934.jpg,1
img_6848561975587852457.jpg,1
img_920571004437917321.jpg,2
img_5530061828133861346.jpg,1
img_2651683821313937633.jpg,2
img_6250877799855221825.jpg,2
img_5739013355534223830.jpg,2
img_3753314631059921298.jpg,2
img_2835374355015172473.jpg,1
img_4552190304152050945.jpg,1
img_1941591903330174712.jpg,2
img_1986731991864877056.jpg,2
img_7935465121157285796.jpg,0
img_4252586337128527836.jpg,1
img_8250398427089029347.jpg,2
img_3760601837716648441.jpg,2
img_5659079187550750262.jpg,2
img_2087563131952826777.jpg,2
img_4827910513759373493.jpg,2
img_303206978757643657.jpg,1
img_3381749923562485439.jpg,2
img_2519920945739426058.jpg,0
img_3118243187516544284.jpg,1
img_4384380240993707548.jpg,1
img_5095528883308344810.jpg,1
img_135575108460661014.jpg,1
img_6672970921659016905.jpg,1
img_2948767633996308067.jpg,0
img_2658939521307904995.jpg,2
img_3592155153297749909.jpg,2
img_1131697637892592394.jpg,1
img_27197045401768072.jpg,0
img_4616428419787005465.jpg,1
img_427884499246056318.jpg,1
img_4026710021364464824.jpg,0
img_2619277850168710326.jpg,1
img_3734463401089372796.jpg,2
img_8810049203212050354.jpg,2
img_4898680113776119955.jpg,0
img_8571033466478684186.jpg,1
img_3539315280677698809.jpg,1
img_5269424999117472368.jpg,1
img_9119115526466019026.jpg,1
img_8451559735565854606.jpg,2
img_6060079403750359297.jpg,0
img_5816741405959142545.jpg,0
img_3564564288771502428.jpg,2
img_6489512315760648956.jpg,1
img_8943468320840878435.jpg,1
img_5412813499202644036.jpg,2
img_5598472782374800638.jpg,2
img_2318558933084128562.jpg,1
img_8815400315872173558.jpg,2
img_3434206170995343017.jpg,1
img_3534032824849945774.jpg,1
img_4615214150999570919.jpg,0
img_936646712846483102.jpg,1
img_1204178525094438083.jpg,1
img_5193651111013263160.jpg,0
img_1451444579689550743.jpg,1
